
list-l-m,12,8,1,288,442537,1536
list-l-s,12,8,1,288,378209,1313
list-il-m,12,8,1,288,690126,2396
list-il-s,12,8,1,288,403843,1402
list-d-m,12,8,1,288,1162276,4035
list-d-s,12,8,1,288,1442242,5007
list-id-m,12,8,1,288,1515018,5260
list-id-s,12,8,1,288,1641141,5698
list-idl-m,12,8,1,288,1713682,5950
list-idl-s,12,8,1,288,1331189,4622
list-i-m,12,12,1,432,726179,1680
list-i-s,12,12,1,432,526201,1218
list-d-m,12,12,1,432,1863407,4313
list-d-s,12,12,1,432,2766815,6404
list-l-m,12,12,1,432,622172,1440
list-l-s,12,12,1,432,386492,894
list-il-m,12,12,1,432,862806,1997
list-il-s,12,12,1,432,711509,1647
list-d-m,12,12,1,432,2370496,5487
list-d-s,12,12,1,432,2655950,6148
list-id-m,12,12,1,432,3482026,8060
list-id-s,12,12,1,432,4024650,9316
list-idl-m,12,12,1,432,3398230,7866
list-idl-s,12,12,1,432,3274980,7580
list-i-m,12,16,1,576,872368,1514
list-i-s,12,16,1,576,850919,1477
list-d-m,12,16,1,576,3657622,6350
list-d-s,12,16,1,576,4901490,8509
list-l-m,12,16,1,576,1012947,1758
list-l-s,12,16,1,576,740689,1285
list-il-m,12,16,1,576,1165456,2023
list-il-s,12,16,1,576,853844,1482
list-d-m,12,16,1,576,5598523,9719
list-d-s,12,16,1,576,5492961,9536
list-id-m,12,16,1,576,5412940,9397
list-id-s,12,16,1,576,4660732,8091
list-idl-m,12,16,1,576,4607457,7999
list-idl-s,12,16,1,576,5101482,8856
list-i-m,12,20,1,720,1367248,1898
list-i-s,12,20,1,720,1015739,1410
list-d-m,12,20,1,720,6552773,9101
list-d-s,12,20,1,720,6367442,8843
list-l-m,12,20,1,720,1221650,1696
list-l-s,12,20,1,720,991454,1377
list-il-m,12,20,1,720,1465389,2035
list-il-s,12,20,1,720,1094874,1520
list-d-m,12,20,1,720,8318005,11552
list-d-s,12,20,1,720,9537121,13246
list-id-m,12,20,1,720,8370085,11625
list-id-s,12,20,1,720,6388066,8872
list-idl-m,12,20,1,720,9352085,12989
list-idl-s,12,20,1,720,7366800,10231
list-i-m,12,24,1,864,1614073,1868
list-i-s,12,24,1,864,1296066,1500
list-d-m,12,24,1,864,5380204,6227
list-d-s,12,24,1,864,9120652,10556
list-l-m,12,24,1,864,1554225,1798
list-l-s,12,24,1,864,1151235,1332
list-il-m,12,24,1,864,1985989,2298
list-il-s,12,24,1,864,1143907,1323
list-d-m,12,24,1,864,7485796,8664
list-d-s,12,24,1,864,12126391,14035
list-id-m,12,24,1,864,12380669,14329
list-id-s,12,24,1,864,10250855,11864
list-idl-m,12,24,1,864,10543928,12203
list-idl-s,12,24,1,864,5623457,6508
list-i-m,12,32,1,1152,2292516,1990
list-i-s,12,32,1,1152,1775591,1541
list-d-m,12,32,1,1152,15827890,13739
list-d-s,12,32,1,1152,21767643,18895
list-l-m,12,32,1,1152,2211117,1919
list-l-s,12,32,1,1152,1426299,1238
list-il-m,12,32,1,1152,2633535,2286
list-il-s,12,32,1,1152,2427460,2107
list-d-m,12,32,1,1152,17358119,15067
list-d-s,12,32,1,1152,22278823,19339
list-id-m,12,32,1,1152,16167856,14034
list-id-s,12,32,1,1152,16404921,14240
list-idl-m,12,32,1,1152,20654264,17929
list-idl-s,12,32,1,1152,13195855,11454
list-none-m,1,1000,1,3000,3871323,1290
list-none-s,1,1000,1,3000,3962795,1320
list-none-m,2,1000,1,6000,25161712,4193
list-none-s,2,1000,1,6000,18330485,3055
list-none-m,4,1000,1,12000,99089318,8257
list-none-s,4,1000,1,12000,95684774,7973
list-none-m,8,1000,1,24000,441320643,18388
list-none-s,8,1000,1,24000,273423198,11392
list-none-m,3,1000,1,9000,53715875,5968
list-none-s,3,1000,1,9000,33910413,3767
list-none-m,5,1000,1,15000,149582938,9972
list-none-s,5,1000,1,15000,151265618,10084
list-none-m,7,1000,1,21000,327264192,15584
list-none-s,7,1000,1,21000,211929091,10091
list-none-m,9,1000,1,27000,581642954,21542
list-none-s,9,1000,1,27000,438735014,16249
list-none-m,12,1000,1,36000,1059695024,29435
list-none-s,12,1000,1,36000,783411954,21761
list-none-m,16,1000,1,48000,-1829859520,-38122
list-none-s,16,1000,1,48000,2042065947,42543
list-none-m,24,1000,1,72000,961220299,13350
list-none-s,24,1000,1,72000,550875608,7651
